学年,対象の漢字,読み,文章,ぶんしょう,英語,スペイン語
1,火,ひ,アルコールランプに[火]をつける。,アルコールランプに[ひ]をつける。,Light an alcohol lamp.,Enciende una lámpara de alcohol.
1,犬,いぬ,{飼}っている[犬]に{顔}をなめられる。,{か}っている[いぬ]に{かお}をなめられる。,My dog ​​licks my face.,Mi perro me lame la cara.
1,犬,けん,かい{助}[犬]といっしょにレストランに{入}る。,かい{じょ}[けん]といっしょにレストランに{はい}る。,Enter the restaurant with your guide dog.,Entra al restaurante con tu perro guía.
1,玉,ぎょく,{家宝}の{宝}[玉]をていねいにみがく。,{かほう}の{ほう}[ぎょく]をていねいにみがく。,Carefully polish your heirloom jewels.,Pule con cuidado tus joyas reliquia.
1,玉,たま,スーパーで{水}[玉]{模様}のかさを{買}う。,スーパーで{みず}[たま]{もよう}のかさを{か}う。,Buy a polka dot umbrella at the supermarket.,Compra un paraguas de lunares en el supermercado.
1,王,おう,{立派}なかんむりをかぶった[王]さまに{会}う。,{りっぱ}なかんむりをかぶった[おう]さまに{あ}う。,We meet a king wearing a magnificent crown.,Nos encontramos con un rey que lleva una magnífica corona.
1,生,い,{私}の{祖父}はとても{長}[生]きです。,{わたし}の{そふ}はとても{なが}[い]きです。,My grandfather has lived a very long life.,Mi abuelo ha vivido una vida muy larga.
1,生,う,{動物園}のパンダに{子}どもが[生]まれる。,{どうぶつえん}のパンダに{こ}どもが[う]まれる。,A baby is born to a panda at the zoo.,Un panda nace un bebé en el zoológico.
1,生,しょう,エジソンは{一}[生]のうちに{多}くの{発明}をした。,エジソンは{いっ}[しょう]のうちに{おお}くの{はつめい}をした。,Edison made many inventions during his lifetime.,Edison hizo muchos inventos durante su vida.
1,生,せい,[生]{徒会長}の{選挙}でだれに{投票}しようかなやむ。,[せい]{とかいちょう}の{せんきょ}でだれに{とうひょう}しようかなやむ。,I can't decide who to vote for in the student council president election.,No puedo decidir por quién votar en la elección del presidente del consejo estudiantil.
1,生,せい,{大学}[生]から{大学}での{過}ごし{方}を{聞}く。,{だいがく}[せい]から{だいがく}での{す}ごし{かた}を{き}く。,Hear from university students how they spent their time at university.,Escuche a estudiantes universitarios cómo pasaron su tiempo en la universidad.
1,生,なま,お{墓}の{方}から[生]ぬるい{風}がふいてきた。,お{はか}の{ほう}から[なま]ぬるい{かぜ}がふいてきた。,A lukewarm wind blew from the direction of the grave.,Un viento tibio soplaba desde la dirección de la tumba.
1,生,は,{家}の{庭}に{雑草}が[生]える。,{いえ}の{にわ}に{ざっそう}が[は]える。,Weeds grow in your garden.,Las malas hierbas crecen en tu jardín.
1,田,た,[田]にいねを{植}えて{育}つのを{待}つ。,[た]にいねを{う}えて{そだ}つのを{ま}つ。,Plant rice in the rice field and wait for it to grow.,Planta arroz en el campo de arroz y espera a que crezca.
1,田,でん,この{辺}はあちこちに{水}[田]がある。,この{へん}はあちこちに{すい}[でん]がある。,There are rice fields all over this area.,Hay campos de arroz por toda esta zona.
1,男,おとこ,ヒーローショーに[男]の{子}たちが{集}まっている。,ヒーローショーに[おとこ]の{こ}たちが{あつ}まっている。,The boys are gathered for a hero show.,Los chicos se reúnen para un espectáculo de héroes.
1,男,だん,[男]{女}で{分}かれて{水着}に{着}がえる。,[だん]{じょ}で{わ}かれて{みずぎ}に{き}がえる。,Men and women are separated and change into swimsuits.,Hombres y mujeres se separan y se ponen trajes de baño.
1,男,なん,ぼくは{三人兄弟}の{長}[男]だ。,ぼくは{さんにんきょうだい}の{ちょう}[なん]だ。,I am the eldest of three brothers.,Soy el mayor de tres hermanos.
1,町,ちょう,[町]{内会}で{節分}の{行事}が{行}われる。,[ちょう]{ないかい}で{せつぶん}の{ぎょうじ}が{おこな}われる。,A Setsubun event is held at the neighborhood association.,Se lleva a cabo un evento Setsubun en la asociación de vecinos.
1,町,まち,さすらいの{旅人}が{港}[町]に{立}ち{寄}る。,さすらいの{たびびと}が{みなと}[まち]に{た}ち{よ}る。,A wandering traveler stops at a port town.,Un viajero errante se detiene en una ciudad portuaria.
1,白,しら,つまらないギャグで{場}が[白]ける。,つまらないギャグで{ば}が[しら]ける。,A boring gag lights up the atmosphere.,Un chiste aburrido ilumina el ambiente.
1,白,しろ,[白]い{歯}をむきだしにして{笑}う。,[しろ]い{は}をむきだしにして{わら}う。,"He smiles, exposing his white teeth.","Él sonríe, dejando al descubierto sus dientes blancos."
1,白,はく,{平安時代}では、[白]{米}はごちそうだった。,{へいあんじだい}では、[はく]{まい}はごちそうだった。,"In the Heian period, white rice was a delicacy.","En el período Heian, el arroz blanco era un manjar."
1,百,ひゃく,では、{教科書}の[百]{五}ページを{開}いてください。,では、{きょうかしょ}の[ひゃく]{ご}ページを{ひら}いてください。,"Now, please open your textbook to page 15.","Ahora, abra su libro de texto en la página 15."
1,目,め,{朝食}の[目]{玉焼}きにソースをかける。,{ちょうしょく}の[め]{だまや}きにソースをかける。,Sprinkle sauce on fried eggs for breakfast.,Espolvoree salsa sobre los huevos fritos para el desayuno.
1,目,もく,[目]{標}に{向}かってつっ{走}る。,[もく]{ひょう}に{む}かってつっ{ぱし}る。,Run towards your goal.,Corre hacia tu objetivo.
1,石,いし,{道}ばたできれいな[石]を{見}つけた。,{みち}ばたできれいな[いし]を{み}つけた。,I found a beautiful stone by the roadside.,Encontré una hermosa piedra al borde del camino.
1,石,しゃく,{磁}[石]を{使}って{砂鉄}を{集}める。,{じ}[しゃく]を{つか}って{さてつ}を{あつ}める。,Collect iron sand using a magnet.,Recoge arena de hierro con un imán.
1,石,せき,ドリルで{岩}[石]をくだいてトンネルをほる。,ドリルで{がん}[せき]をくだいてトンネルをほる。,Break down the rock with a drill and dig a tunnel.,Rompe la roca con un taladro y cava un túnel.
1,空,あ,{来週}なら{予定}が[空]いているよ。,{らいしゅう}なら{よてい}が[あ]いているよ。,I have free plans for next week.,Tengo planes gratis para la próxima semana.
1,空,から,{部屋}の{整理}をして、たなが[空]になる。,{へや}の{せいり}をして、たなが[から]になる。,I tidy up my room and empty the shelves.,Ordeno mi habitación y vacío los estantes.
1,空,そら,{夕方}を{過}ぎて[空]が{暗}くなってきた。,{ゆうがた}を{す}ぎて[そら]が{くら}くなってきた。,"As the evening passed, the sky became dark.","A medida que pasaba la tarde, el cielo se oscureció."
1,立,た,ここから{先}は{危険}なので[立]ち{入}り{禁止}です。,ここから{さき}は{きけん}なので[た]ち{い}り{きんし}です。,"It is dangerous to go beyond this point, so it is prohibited to enter.","Es peligroso pasar de este punto, por lo que está prohibido entrar."
1,立,りつ,{勉強}と{部活}を{両}[立]させる。,{べんきょう}と{ぶかつ}を{りょう}[りつ]させる。,Balancing study and club activities.,Equilibrar el estudio y las actividades del club.
1,竹,たけ,[竹]を{使}ってかごを{編}む。,[たけ]を{つか}ってかごを{あ}む。,Weave a basket using bamboo.,Teje una canasta con bambú.
1,竹,ちく,おじいさんは[竹]{林}でかぐやひめを{見}つけた。,おじいさんは[ちく]{りん}でかぐやひめを{み}つけた。,The old man found Kaguyahime in the bamboo forest.,El anciano encontró a Kaguyahime en el bosque de bambú.
1,糸,いと,{集中}して{針}の{穴}に[糸]を{通}す。,{しゅうちゅう}して{はり}の{あな}に[いと]を{とお}す。,Concentrate on threading the thread through the eye of the needle.,Concéntrate en pasar el hilo por el ojo de la aguja.
1,耳,みみ,その{豆知識}は{初}[耳]だった。,その{まめちしき}は{はつ}[みみ]だった。,It was my first time hearing that trivia.,Era la primera vez que escuchaba esa trivia.
1,花,か,{学校}の[花]だんに、あたらしい{花}を{植}えた。,{がっこう}の[か]だんに、あたらしい{はな}を{う}えた。,I planted new flowers in the flower garden at school.,Planté flores nuevas en el jardín de flores de la escuela.
1,花,はな,タンポポの[花]が{白}い{綿毛}に{変}わる。,タンポポの[はな]が{しろ}い{わたげ}に{か}わる。,Dandelion flowers turn into white fluff.,Las flores de diente de león se convierten en pelusa blanca.
1,草,くさ,[草]むらからコオロギの{鳴}き{声}が{聞}こえる。,[くさ]むらからコオロギの{な}き{ごえ}が{き}こえる。,I can hear crickets chirping from the grass.,Puedo oír a los grillos cantando en la hierba.
1,草,そう,{山}おくから{薬}[草]をつんでくる。,{やま}おくから{やく}[そう]をつんでくる。,I gather medicinal herbs from the mountains.,Recojo hierbas medicinales de las montañas.
1,虫,ちゅう,{魚}の{身}から{寄生}[虫]を{取}り{除}く。,{さかな}の{み}から{きせい}[ちゅう]を{と}り{のぞ}く。,Remove parasites from fish flesh.,Elimina los parásitos de la carne del pescado.
1,虫,むし,[虫]{歯}を{治}しに{歯医者}へ{行}く。,[むし]{ば}を{なお}しに{はいしゃ}へ{い}く。,I go to the dentist to fix a cavity.,Voy al dentista para arreglar una caries.
1,見,けん,{消}しゴムがどこに{行}ったのか[見]{当}もつかない。,{け}しゴムがどこに{い}ったのか[けん]{とう}もつかない。,I have no idea where the eraser went.,No tengo idea de dónde fue el borrador.
1,見,み,{乗車券}を{駅員}さんに[見]せる。,{じょうしゃけん}を{えきいん}さんに[み]せる。,Show your ticket to the station staff.,Muestra tu billete al personal de la estación.
1,見,み,{友達}を[見]{習}って{真面目}に{取}り{組}む。,{ともだち}を[み]{なら}って{まじめ}に{と}り{く}む。,Follow your friends and work hard.,Sigue a tus amigos y trabaja duro.
1,貝,かい,{砂}はまで[貝]がらを{拾}い{集}める。,{すな}はまで[かい]がらを{ひろ}い{あつ}める。,Collect shells from the sand.,Recoge conchas de la arena.
1,赤,あか,ケガをして[赤]い{血}が{出}る。,ケガをして[あか]い{ち}が{で}る。,Red blood comes out due to injury.,Sale sangre roja debido a una lesión.
1,赤,あか,{先生}が[赤]のボールペンでテストを{採点}する。,{せんせい}が[あか]のボールペンでテストを{さいてん}する。,The teacher grades the test with a red ballpoint pen.,El profesor califica el examen con un bolígrafo rojo.
1,赤,せき,{先生}をお{母}さんと{呼}んでしまって[赤]{面}する。,{せんせい}をお{かあ}さんと{よ}んでしまって[せき]{めん}する。,I blush when I call my teacher mom.,Me sonrojo cuando llamo mamá a mi maestra.
1,足,あし,{森}の{中}を[足]{元}に{気}をつけて{歩}く。,{もり}の{なか}を[あし]{もと}に{き}をつけて{ある}く。,Walk carefully in the forest.,Camine con cuidado por el bosque.
1,足,そく,{他}の{人}の{説明}に{補}[足]を{加}える。,{ほか}の{ひと}の{せつめい}に{ほ}[そく]を{くわ}える。,Add supplements to other people's explanations.,Agregue complementos a las explicaciones de otras personas.
1,足,た,クッキーの{生地}に{砂糖}を{少}し[足]す。,クッキーの{きじ}に{さとう}を{すこ}し[た]す。,Add a little sugar to the cookie dough.,Agrega un poco de azúcar a la masa de galletas.
